スポット名（英）,スポット名（日本語）,カテゴリ,エリア,URL,英語説明,日本語説明,tag_family_friendly,コメント・補足,所要時間,予約必要の有無,"英語対応
1（全く対応していない）-3（フル対応）",料金帯
"The National Art Center, Tokyo",国立新美術館,現代アート・建築,六本木,https://www.nact.jp/,"Unique museum without permanent exhibits, known for its striking architecture.",常設展を持たないユニークな美術館。黒川紀章の建築も有名。,⭕️,展示内容によっては子連れも楽しめるが、静かな雰囲気。,,,,
teamLab Planets Tokyo,チームラボプラネッツ東京,デジタルアート体験,豊洲,https://planets.teamlab.art/tokyo/,Walk-through digital art experience with light and water.,水や光の中を歩く体験型アート。五感で楽しめるインスタレーション。,✅,裸足での体験あり。小さな子もOKだが要注意点あり。,,,,
21_21 Design Sight,21_21デザインサイト,デザインギャラリー,六本木,https://www.2121designsight.jp/,"Design museum created by Issey Miyake, designed by Tadao Ando.",三宅一生と安藤忠雄によるデザインミュージアム。,⭕️,子ども向けではないが、建築・空間体験として◎。,,,,
Sumida Hokusai Museum,すみだ北斎美術館,日本美術・建築,両国,https://hokusai-museum.jp/,"Museum dedicated to Hokusai, with modern architecture by Kazuyo Sejima.",葛飾北斎の作品展示と、妹島和世設計の建築が特徴。,✅,展示に興味があれば子どもも楽しめる。,,,,
Nezu Museum,根津美術館,日本美術・建築・庭園,表参道,https://www.nezu-muse.or.jp/,"Traditional art and a beautiful garden, housed in a Kengo Kuma-designed building.",日本美術と庭園、隈研吾の現代建築が融合した美術館。,⭕️,静かな場所。子連れは落ち着いた年齢がおすすめ。,,,,
Museum of Contemporary Art Tokyo,東京都現代美術館,現代アート,清澄白河,https://www.mot-art-museum.jp/,Tokyo's largest contemporary art museum with family programs.,現代アートの企画展多数。キッズプログラムも開催。,✅,近くの公園やカフェと合わせて訪れるのも◎。,,,,
TOTO Gallery·Ma,TOTOギャラリー・間,建築専門ギャラリー,乃木坂,https://jp.toto.com/gallerma/,Gallery dedicated to architectural exhibitions and theory.,建築に特化した展示を行う専門ギャラリー。,⭕️,建築好きの親子にはおすすめ。静かな展示が多い。,,,,
"Watari-um, The Watari Museum of Contemporary Art",ワタリウム美術館,現代アート・建築,表参道,https://www.watarium.co.jp/,Contemporary art museum designed by Mario Botta.,マリオ・ボッタ設計の建築と、尖った現代アート企画展が特徴。,⭕️,小学生高学年以上向き。展示によって異なる。,,,,
Tokyo Metropolitan Teien Art Museum,東京都庭園美術館,アールデコ・建築,白金台,https://www.teien-art-museum.ne.jp/,Art museum in an Art Deco mansion surrounded by gardens.,アールデコ洋館と庭園の優雅な空間。建築目当ての来館も多い。,⭕️,静かで落ち着いた鑑賞向き。子ども連れは工夫が必要。,,,,
Ginza Graphic Gallery (ggg),ギンザ・グラフィック・ギャラリー,デザイン・グラフィック,銀座,https://www.dnpfcp.jp/gallery/ggg/,Free graphic design exhibitions in central Tokyo.,世界のグラフィックデザインに触れられる無料ギャラリー。,⭕️,コンパクト。大人の息抜きに◎。,,,,
The National Museum of Western Art,国立西洋美術館,西洋美術・建築,上野,https://www.nmwa.go.jp/,"Museum of Western art in a Le Corbusier-designed building, featuring classic European works.",ル・コルビュジエ設計の建築と西洋絵画コレクションが魅力の美術館。,⭕️,建築好きにも人気。常設展は中学生以下無料。,,,,
Tokyo National Museum,東京国立博物館,日本美術・歴史建築,上野,https://www.tnm.jp/,Japan’s oldest and largest museum showcasing traditional art and archaeology.,日本最古の国立博物館で、仏像・刀剣・屏風などの日本美術が充実。,✅,ファミリーツアーやキッズガイドあり。,,,,
Tokyo Metropolitan Art Museum,東京都美術館,総合美術館,上野,https://www.tobikan.jp/,Hosts rotating art exhibitions and public art programs.,多彩な企画展や公募展を開催。市民ギャラリーもあり。,✅,カフェ・レストランも充実。ベビーカーOK。,,,,
"The University Art Museum, Tokyo University of the Arts",東京藝術大学大学美術館,アカデミック美術館,上野,https://museum.geidai.ac.jp/,Exhibitions of student and faculty works from Japan’s top art university.,芸大ならではの多様な作品展を楽しめる、知的刺激のある美術館。,⭕️,芸術系の進路に興味ある子にもおすすめ。,,,,
Reversible Destiny Lofts Mitaka,三鷹天命反転住宅,体験型建築・アート,三鷹,https://www.rdloftsmitaka.com/,Colorful experimental housing and art space designed by Arakawa + Gins.,荒川修作＋マドリン・ギンズによる色彩豊かな実験住宅。宿泊・見学可能。,⭕️,建築体験ツアーや1泊宿泊プランあり。子ども連れも◎。,,,,
Yayoi Kusama Museum,草間彌生美術館,現代アート・美術館,新宿（弁天町）,https://yayoikusamamuseum.jp/,A museum dedicated to Yayoi Kusama’s colorful and immersive works.,草間彌生の作品を専門に展示する、予約制の美術館。,⭕️,完全予約制・日時指定。エレベーターあり、ベビーカーOK（事前確認推奨）。,,,,
Mori Art Museum,森美術館,現代アート・展望建築,六本木,https://www.mori.art.museum/,Leading contemporary art museum in Tokyo with international exhibitions and skyline views.,国際的な現代アート展を多数開催する六本木ヒルズの美術館。展望台からの景色も魅力。,✅,展望台（東京シティビュー）とセットのチケットが人気。子連れにも◎。,,,,
