スポット名（英）,スポット名（日本語）,カテゴリ,エリア,URL,英語説明,日本語説明,tag_family_friendly,コメント・補足,所要時間,予約必要の有無,"英語対応
1（全く対応していない）-3（フル対応）",料金帯
Ueno Zoo,上野動物園,動物園,上野,https://www.tokyo-zoo.net/zoo/ueno/,Japan's oldest zoo with pandas and over 400 species.,日本最古の動物園。パンダをはじめ、400種以上の動物が見られる。,✅,広い園内。ベビーカーOK、授乳室・休憩所あり。,,,,
Sumida Aquarium,すみだ水族館,水族館,押上,https://www.sumida-aquarium.com/,"Indoor modern aquarium with jellyfish, penguins, and Tokyo Skytree view.",スカイツリー直結のおしゃれな水族館。クラゲ展示が人気。,✅,駅直結でアクセス抜群。雨の日にもおすすめ。,,,,
Aqua Park Shinagawa,アクアパーク品川,水族館,品川,https://www.aqua-park.jp/aqua/,High-tech aquarium with dolphin shows and light effects.,光と音の演出が特徴の水族館。イルカショーも楽しめる。,✅,駅から近くてコンパクト。ベビーカーでも回りやすい。,,,,
Tokyo Disneyland,東京ディズニーランド,テーマパーク,千葉・舞浜,https://www.tokyodisneyresort.jp/,Disney’s magical world with rides and parades for all ages.,パレードや小さな子でも楽しめるアトラクションが充実。,✅,ベビーセンター・ベビーカー貸出あり。混雑日は早めの行動を。,,,,
Sanrio Puroland,サンリオピューロランド,キャラクターパーク,多摩,https://www.puroland.jp/,Indoor theme park with Hello Kitty and Sanrio friends.,サンリオキャラと会える屋内パーク。幼児～小学生に人気。,✅,雨の日も快適。キャラと写真が撮れるグリーティングが充実。,,,,
ASOBono!,アソボ〜ノ！,屋内キッズ施設,水道橋,https://www.tokyo-dome.co.jp/asobono/,Large indoor play space for children with zones by age.,赤ちゃんから小学生まで楽しめる大型屋内遊び場。,✅,東京ドームシティ内。雨の日も安心。,,,,
KidZania Tokyo,キッザニア東京,キッズ職業体験,豊洲,https://www.kidzania.jp/tokyo/en/,Role-playing city where kids can experience 100+ real-world jobs.,子どもが本格的な職業体験ができる大人気施設。,✅,英語プログラム「English Wednesday」あり。,,,,
"Ghibli Museum, Mitaka",三鷹の森ジブリ美術館,アニメ・美術館,三鷹,https://www.ghibli-museum.jp/,Studio Ghibli’s museum with original animations and charming architecture.,宮崎駿監督の世界を体感できるジブリ公式美術館。,✅,完全予約制。小学生以下の子連れにおすすめ。,,,,
National Museum of Nature and Science,国立科学博物館,博物館,上野,https://www.kahaku.go.jp/,Extensive science and nature exhibits including dinosaur fossils.,恐竜骨格など子どもが楽しめる展示が豊富な博物館。,✅,常設展は中学生以下無料。,,,,
teamLab Borderless (Old),チームラボボーダレス（旧）,デジタルアート体験,お台場（旧）,https://www.teamlab.art/jp/e/borderless/,Immersive digital art museum by teamLab with interactive light exhibits.,インタラクティブな光のアートを楽しめる没入型デジタル美術館。,✅,2024年春に麻布台ヒルズへ移転。旧施設も人気だった。,,,,
