イベント名（英）,イベント名（日本語）,カテゴリ,開催エリア,開催時期,URL,英語説明,日本語説明,tag_family_friendly,コメント・補足,所要時間,予約必要の有無,"英語対応
1（全く対応していない）-3（フル対応）",料金帯
Jindaiji Daruma Market,深大寺だるま市,縁起物市・地域祭り,調布市・深大寺,毎年3月3日・4日,公式サイト,A historic market where lucky daruma dolls are sold.,だるまを買って目入れ祈願する伝統行事。家族連れも多く訪れる。,✅,調布エリアの落ち着いた雰囲気。観光ついでにおすすめ。,,,,
Ueno Park,上野恩賜公園,花見,上野,3月下旬〜4月上旬,公式サイト,One of Tokyo’s most famous cherry blossom parks with museums and zoo.,桜と文化施設が融合。動物園・博物館とセットで1日楽しめる。,✅,シートを広げる花見にも適している。,,,,
Chidorigafuchi Moat,千鳥ヶ淵緑道,花見・ライトアップ,九段下・皇居周辺,3月下旬〜4月上旬,参考,Moat-side blossoms with romantic boat rides and nighttime lighting.,皇居外堀沿いの桜が有名。ライトアップとボートで幻想的体験。,✅,ベビーカーOK。ボートは早め予約が安心。,,,,
Shinjuku Gyoen National Garden,新宿御苑,花見,新宿御苑,3月下旬〜4月中旬,公式サイト,"Spacious park with over 1,000 cherry trees, perfect for a calm stroll.",落ち着いた雰囲気で、混雑を避けたい家族に最適。ピクニックも◎,✅,アルコール不可なので安心感あり。,,,,
Sumida Park,隅田公園,花見・ライトアップ,浅草・隅田川沿い,3月下旬〜4月上旬,参考,Cherry blossoms along the Sumida River with Tokyo Skytree backdrop.,隅田川沿いに桜並木が続き、スカイツリーとの風景が美しい。,✅,浅草観光と組み合わせやすいルート。,,,,
Meguro River Cherry Blossom Festival,目黒川桜まつり（ライトアップあり）,花見・ライトアップ,中目黒〜池尻大橋,3月下旬〜4月上旬,参考,Stunning riverside cherry blossom walk with evening lights.,目黒川沿いの桜が両岸に咲き誇り、夜は幻想的なライトアップも実施。,✅,混雑注意。川沿いは歩きやすく、写真映えスポット多い。,,,,
Asakusa Sanja Matsuri,三社祭（浅草神社）,神輿・伝統祭り,浅草,毎年5月第3週末（金〜日）,公式サイト,One of Tokyo's biggest traditional festivals with mikoshi parades.,江戸三大祭のひとつ。100基以上の神輿が練り歩く勇壮な光景。,△（人混み多）,活気があり迫力あるが、未就学児連れには少し過酷な場面も。,,,,
Sumida River Fireworks Festival,隅田川花火大会,花火大会,浅草・隅田川沿い,毎年7月下旬（土曜）,公式サイト,"One of Tokyo's biggest fireworks shows with over 20,000 shells.",東京最大級の花火大会。隅田川沿いで2会場から打ち上げ。,✅,大変混雑するので子連れは早めの到着・対策が必要。,,,,
Mitama Matsuri at Yasukuni Shrine,靖国神社 みたままつり,夏祭り・伝統行事,九段下,毎年7月中旬,公式サイト,Lantern-lit summer festival with food stalls and dances.,約3万の提灯が灯る幻想的なお祭り。屋台や盆踊りも人気。,✅,夜のライトアップが美しいが混雑度高め。,,,,
Rikugien Autumn Light-up,六義園 秋のライトアップ,ライトアップ・紅葉,駒込,11月中旬〜12月初旬,公式サイト,Stunning nighttime maple foliage illumination in a traditional garden.,日本庭園での紅葉とライトアップのコラボが美しい。,✅,ベビーカーOK。夕方から混むので早めがおすすめ。,,,,
Tokyo Tower Winter Light Fantasia,東京タワー ウィンターライトファンタジア,冬季イルミネーション,芝公園（港区）,11月中旬〜2月頃,公式サイト,Seasonal light display with Tokyo Tower view and music.,東京タワーの夜景と光の演出が楽しめる冬限定イベント。,✅,東京観光と合わせて立ち寄りやすいスポット。,,,,
Odaiba Rainbow Fireworks,お台場レインボー花火,冬季花火,お台場海浜公園,毎年12月の土曜（複数日）,参考,Winter fireworks over the bay with Rainbow Bridge as backdrop.,冬の東京湾で行われる花火大会。夜景と合わせて楽しめる。,✅,寒さ対策必須。ベビーカー可。,,,,
Tokyo Dome City Winter Illumination,東京ドームシティ ウィンターイルミネーション,冬季イルミネーション,後楽園,11月〜2月頃,公式サイト,Giant seasonal light show with rides and attractions.,アミューズメント施設併設。家族でイルミと遊園地を一緒に楽しめる。,✅,室内施設も多く、寒い日も安心。,,,,
Koenji Awa Odori Festival,高円寺阿波おどり,伝統踊り・夏祭り,杉並区・高円寺,毎年8月下旬（最終土日）,公式サイト,"One of Tokyo’s largest Awa Odori festivals with over 10,000 dancers.",約1万人の踊り手が高円寺の商店街を舞い踊る大規模な夏祭り。,✅,夕方から夜にかけて開催。熱気と活気に包まれるが、音が大きいため未就学児は注意。,,,,
