スポット名（英）,スポット名（日本語）,カテゴリ,エリア,URL,英語説明,日本語説明,tag_family_friendly,コメント・補足,所要時間,予約必要の有無,"英語対応
1（全く対応していない）-3（フル対応）",料金帯
Lake Kawaguchi,河口湖,湖・富士山ビュー,山梨県・富士五湖,https://www.fujisan.ne.jp/,"Scenic lake with Mt. Fuji views, boat rides, and hot springs nearby.",富士山を望む絶景の湖。遊覧船や温泉も楽しめる観光地。,✅,秋の紅葉シーズンや冬の逆さ富士も人気,,,,
Shosenkyo Gorge,昇仙峡,渓谷・紅葉,山梨県甲府市,https://www.yamanashi-kankou.jp/,"Stunning gorge with cliffs, waterfalls, and autumn foliage.",奇岩や滝が続く渓谷美。秋の紅葉は特に見応えあり。,✅,ロープウェイあり、家族でもアクセスしやすい,,,,
Hitachi Seaside Park,ひたち海浜公園,花畑・季節絶景,茨城県ひたちなか市,https://hitachikaihin.jp/,Famous for blue nemophila flowers in spring and kochia bushes in autumn.,春のネモフィラ、秋のコキアで有名な季節の絶景スポット。,✅,ベビーカーもOK。園内はとても広いので事前計画推奨,,,,
Lake Ashi (Hakone),芦ノ湖（箱根）,湖・富士山ビュー,神奈川県・箱根町,https://www.hakone.or.jp/,"Crater lake with Mt. Fuji views, sightseeing cruise and torii gate in lake.",富士山を背景にした湖と赤い鳥居が絶景。遊覧船も人気。,✅,箱根神社も近く、カップルや家族にも人気,,,,
Mount Takao,高尾山,森林・登山・紅葉,東京都八王子市,https://www.takaotozan.co.jp/,Easily accessible mountain hike with forest trails and autumn colors.,東京からすぐ行ける登山・森林浴スポット。紅葉も人気。,✅,ケーブルカーあり、初心者や子連れにもおすすめ,,,,
Oshino Hakkai,忍野八海,富士山・湧水池,山梨県・忍野村,https://www.vill.oshino.yamanashi.jp/,Eight crystal clear spring ponds with Mt. Fuji backdrop.,富士山と湧き水の池のコントラストが美しい。,✅,和風の街並みとセットで観光できる,,,,
Shiraito Falls,白糸の滝,滝・富士山周辺,静岡県富士宮市,https://www.city.fujinomiya.lg.jp/,"Wide, delicate waterfall fed by Mt. Fuji's spring water.",富士山の湧水が織りなす美しい白糸のような滝。,✅,音止の滝とセットで訪れると◎,,,,
Fuji Shibazakura Festival,富士芝桜まつり,花畑・富士山ビュー,山梨県・本栖湖近く,https://www.shibazakura.jp/,Huge fields of pink moss phlox flowers with Mt. Fuji in the background.,ピンクの芝桜と富士山の競演。4月下旬〜5月上旬が見頃。,✅,開催期間限定。渋滞が起きやすいので早朝来場推奨,,,,
Nokogiriyama,鋸山,絶景・断崖・展望台,千葉県鋸南町,https://www.mt-nokogiri.co.jp/,"Dramatic cliff views, giant Buddha, and panoramic Tokyo Bay scenes.",地獄のぞきや巨大仏像、東京湾を一望できる絶景スポット。,△,階段や断崖あり。小さな子連れは注意が必要,,,,
Oishi Park (Lake Kawaguchi),大石公園（河口湖）,花畑・富士山ビュー,山梨県・河口湖,https://fujisan.ne.jp/pages/63/,"Seasonal flower park with lavender and cosmos, and Mt. Fuji views.",四季折々の花と富士山の景色が楽しめる公園。,✅,河口湖との組み合わせ観光に最適,,,,
