スポット名（英）,日本語名,カテゴリ,エリア,URL,英語対応,コメント,所要時間,予約必要の有無,"英語対応
1（全く対応していない）-3（フル対応）",料金帯
Blue Note Tokyo,ブルーノート東京,ライブハウス,南青山,公式,◎,高級ジャズクラブ。食事あり。早い時間はOK。,,,,
Billboard Live Tokyo,ビルボードライブ東京,ライブハウス,六本木ミッドタウン,公式,◎,世界的アーティストも出演する音楽＆食事の複合施設。,,,,
Cotton Club,コットンクラブ,ライブハウス,東京駅・丸の内,公式,◎,落ち着いた大人のジャズバー。英語案内あり。,,,,
Cé La Vi Tokyo,セラヴィ東京,バー,渋谷スクランブルスクエア,公式,◎,シンガポール発の高級ルーフトップバー＆ダイニング。,,,,
The Rooftop Bar – Andaz,アンダーズ東京 ルーフトップバー,バー,虎ノ門ヒルズ,公式,◎,ラグジュアリーホテル最上階。東京タワービュー。,,,,
Trunk (Hotel) Rooftop Bar,トランクホテル ルーフトップバー,バー,渋谷,公式,◎,おしゃれな空間。週末イベントもあり。,,,,
Tokyo Bay Night Cruise,東京湾ナイトクルーズ,ナイトクルーズ,お台場・竹芝等,公式,○,ディナークルーズあり。予約で英語対応可能。,,,,
Yakatabune Ami,屋形船あみ春,ナイトクルーズ,浅草・品川,公式,○,和風の屋形船で天ぷら・寿司付き。英語メニュー要確認。,,,,
Symphony Tokyo Bay Cruise,シンフォニークルーズ,ナイトクルーズ,竹芝,公式,◎,英語対応完備。日中〜ナイトクルーズあり。,,,,
Hotel New Otani Night Pool,ホテルニューオータニ ナイトプール,ナイトプール,永田町,公式,7月中旬〜9月上旬,セレブ気分が味わえる高級ホテルプール。DJイベントも開催。,,,,
ANA InterContinental Pool,ANAインターコンチネンタル ナイトプール,ナイトプール,赤坂・溜池山王,公式,7月中旬〜9月上旬,シティビュー＆ライトアップが美しい。,,,,
Tokyo Prince Hotel Night Pool,東京プリンスホテル ナイトプール,ナイトプール,芝公園,公式,7月中旬〜9月上旬,東京タワーが見えるインスタ映えスポット。,,,,
Grand Nikko Tokyo Daiba,グランドニッコー東京 台場 プール,ナイトプール,お台場,公式,7月下旬〜8月末,夜景＋お台場ならではの開放感。,,,,
WOMB,ウーム,クラブ,渋谷,公式,◎,世界的DJも多数出演する本格クラブ,,,,
VENT,ヴェント,クラブ,表参道,公式,◎,音響に定評あり、通好み,,,,
Contact Tokyo（旧）,コンタクト（閉店）,クラブ,渋谷,-,×（終了）,WOMBと並ぶ伝説的クラブ（2022年閉店）,,,,
Circus Tokyo,サーカス東京,クラブ,渋谷,公式,◎,大阪発、実験的な音楽イベント多め,,,,
Club Asia,クラブエイジア,クラブ,渋谷,公式,◎,若者人気。アジアンテイストの内装,,,,
Harlem,ハーレム,クラブ,渋谷,公式,◎,日本のヒップホップ文化の中心的存在,,,,
TK Shibuya,TK渋谷,クラブ,渋谷,公式,◎,外国人率高め。パーティ系クラブ,,,,
ELE Tokyo,ELEトーキョー,クラブ,麻布十番,Instagram,◎,VIP感あり、外国人富裕層に人気,,,,
1 OAK Tokyo,ワンオーク東京,クラブ,六本木,Instagram,◎,NY発セレブ系クラブ,,,,
R Lounge,Rラウンジ,クラブ,渋谷,公式,○,小規模ながらディープな音楽ファンに人気,,,,
Shibuya Nonbei Yokocho,渋谷のんべい横丁,,居酒屋横丁,公式,,昭和レトロな雰囲気の小さな居酒屋が連なる横丁。,,英語メニューありの店もあり,,
Shinjuku Golden Gai,新宿ゴールデン街,,バー・横丁,公式,,小さなバーが密集するディープなナイトスポット。,,外国人に人気、チャージ料金に注意,,
Robot Restaurant,ロボットレストラン,,ショー・体験型,N/A,,光と音とロボットのショーが楽しめる。,,現在営業情報要確認（コロナ後）,,
Tokyo Tower Light-Up,東京タワーライトアップ,,展望・ライトアップ,公式,,夜間のライトアップと展望が楽しめる。,,夏季は夜のビアガーデン開催あり,,
Omoide Yokocho,思い出横丁（新宿）,,居酒屋横丁,公式,,焼き鳥と酒が楽しめる、外国人観光客に人気の横丁。,,早めの時間なら家族も可,,
Albatross G,アルバトロスG,ゴールデン街,新宿,TripAdvisor,◎,天井が高く、外国人客が多い。英語メニュー＆会話OK。,,,,
Ace's,エースズ,ゴールデン街,新宿,N/A,◎,NYスタイルのオーナーが運営。英語が堪能で観光客に優しい。,,,,
Bar Champion,バー・チャンピオン,ゴールデン街,新宿,Instagram,◎,外国人歓迎のポリシー。音楽系イベントも開催。,,,,
Kenzo's Bar,ケンゾーズバー,ゴールデン街,新宿,N/A,◎,観光ガイドにも掲載。気さくで英語対応◎。,,,,
La Jetée,ラ・ジュテ,ゴールデン街,新宿,N/A,○,映画好きのバー。フランス語と英語対応あり。,,,,
店名（英）,店名（日本語）,ジャンル,英語対応,URL,コメント,,,,,
Aisotope Lounge,アイソトープラウンジ,新宿三丁目,新宿,公式,◎,日本屈指のLGBTQフレンドリークラブ。英語案内多数あり。,,,,
Arty Farty,アーティファーティ,新宿三丁目,新宿,公式,◎,英語対応◎、海外旅行者に人気のパーティ系クラブ。,,,,
Bar Nana,バーナナ,新宿三丁目,新宿,N/A,○,外国人スタッフ常駐。英語OK。,,,,
Eagle Tokyo Blue,イーグル東京ブルー,新宿三丁目,新宿,公式,◎,英語メニュー、スタッフ対応あり。観光客フレンドリー。,,,,
