スポット名（英）,スポット名（日本語）,カテゴリ,エリア,URL,画像URL,概要説明（英）,概要説明（日本語）,出典サイト,tag_family_friendly,根拠メモ,評価,コメント,所要時間,予約必要の有無,"英語対応
1（全く対応していない）-3（フル対応）",料金帯
Tokyo Tower,東京タワー,展望／近代建築,港区・芝公園,https://www.tokyotower.co.jp/en.html,—,Classic red-and-white tower with observation decks and seasonal events.,昭和のシンボル。展望台からの景色や期間限定イベントも楽しめる観光名所。,公式サイト,TRUE,英語対応あり、キッズ向け施設「タワーボール」なども併設,A,増上寺とのセット観光が◎。夜景も人気。,,,,
Tokyo Skytree,東京スカイツリー,展望／未来建築,墨田区,https://www.tokyo-skytree.jp/en/,—,"Tallest structure in Japan with panoramic views, shopping, aquarium, and planetarium.",日本一高い建造物。展望台だけでなく商業施設・水族館・プラネタリウムも併設。,公式サイト,TRUE,英語対応完備、子連れレビューも多数、高さ×多機能性で魅力大,A+,浅草からのアクセスも◎、複合型観光スポット。,,,,
Shibuya Sky,渋谷スカイ,展望／最新都市体験,渋谷区,https://www.shibuya-scramble-square.com/sky/,—,Open-air rooftop observatory with 360° views of Tokyo and Mt. Fuji on clear days.,渋谷の屋上から東京全体を見渡せる絶景スポット。富士山が見えることも。,公式サイト,TRUE,インスタ映え・映像演出もあり。子ども連れにも好評（屋外＆屋内あり）,A,若者にも人気。夕方〜夜景時間帯が特におすすめ。,,,,
Tokyo Metropolitan Govt. Building,東京都庁展望室,展望／公共建築,新宿区,https://www.metro.tokyo.lg.jp/english/guide/observat.html,—,Free observatory deck on the 45th floor. Good alternative for budget-conscious travelers.,無料で入れる都庁展望室。東京全体を一望でき、富士山も見えることがある。,東京都庁公式,TRUE,ベビーカー可、無料、英語案内あり,A,コスパ最高の展望台。混雑時は時間調整が必要。,,,,
Roppongi Hills Sky Deck,六本木ヒルズ スカイデッキ,展望／高層複合施設,港区・六本木,https://www.mori.art.museum/en/skydeck/,—,Rooftop heliport deck with open-air views. Near art museums and luxury shopping.,屋上ヘリポートを開放した展望デッキ。森美術館や高級ショップとも連携。,森ビル公式,TRUE,子連れでもOK（屋外注意）、アート施設とセット利用が人気,B+,美術館＋展望＋グルメの三拍子が揃う,,,,
Toranomon Hills Station Tower Top,虎ノ門ヒルズ ステーションタワー TOP,展望／最新複合施設,港区・虎ノ門,https://www.toranomonhills.com/,—,"Newly opened in 2023, this observatory offers views from one of Tokyo’s tallest new buildings.",2023年開業の新展望フロア。東京中心部の再開発エリアで話題のランドマーク。,虎ノ門ヒルズ公式,TRUE,最新設備・英語表記あり・話題性も高い,B+,飲食やアートとの組合せも面白い,,,,
Yebisu Garden Place Sky Lounge,恵比寿ガーデンプレイス スカイラウンジ,展望／落ち着き空間,渋谷区・恵比寿,https://gardenplace.jp/en/,—,"A quiet, classy observatory with city views, located in a premium dining and shopping complex.",落ち着いた雰囲気の展望ラウンジ。レストランやデート利用に人気。,恵比寿GP公式,TRUE,英語案内あり／子連れもOKだが静かで大人向け,B,ディナー前後や雨の日の休憩にも◎,,,,
Harumi Flag (Future Tower),晴海フラッグ（展望予定）,展望予定／再開発,中央区・晴海,https://www.urban-renaissance.or.jp/harumi/,—,"A massive redeveloped area from the Olympic village, expected to include waterfront view spots.",五輪選手村跡地を再開発した新エリア。展望施設は今後整備予定。,UR都市機構公式,TRUE,展望は未定だが話題のエリア。将来有望スポットとして事前紹介可,C+,未来志向の街として要注目。現在は一部エリア整備中。,,,,
Bunkyo Civic Center,文京シビックセンター展望ラウンジ,無料展望フロア,文京区,https://www.city.bunkyo.lg.jp/shisetsu/civiccenter.html,Free observation lounge with Mt. Fuji views on clear days.,富士山や新宿方面の絶景が無料で楽しめる穴場スポット。,✅,無料なのに眺望が良く、空いているのも魅力。,,,,,,,,
Caretta Shiodome Sky View,カレッタ汐留スカイビュー,無料展望フロア,汐留,https://www.caretta.jp/,Free sky view from office building with seasonal light shows.,高層階からの夜景＋冬季イルミネーションも有名。,△,平日日中はビジネスマン多め。飲食店と組み合わせも◎。,,,,,,,,
Shibuya Sky,渋谷スカイ,屋上展望デッキ,渋谷,公式サイト,Rooftop deck with panoramic views of Shibuya including the crossing.,渋谷の街と交差点を見下ろせる展望デッキ。高層・屋外で開放感あり。,✅,再掲（交差点＋東京タワー＋富士山も見える人気スポット）,,,,,,,,
MAGNET by SHIBUYA109 – CROSSING VIEW,MAGNET by SHIBUYA109 – クロッシングビュー,窓展望スポット（有料）,渋谷,公式サイト,Rooftop deck with a direct view of Shibuya Crossing. Small fee applies.,スクランブル交差点を真正面から見下ろせる屋上展望台。フォトスポットとして人気。,✅,有料（¥300程度）、混雑時あり。夕方〜夜の眺めもおすすめ。,,,,,,,,
Starbucks Shibuya Tsutaya,スターバックス渋谷TSUTAYA,カフェ（室内窓ビュー）,渋谷,Google Maps,Popular Starbucks with large windows facing the crossing.,渋谷スクランブル交差点が窓から見えるスターバックス。観光客に人気の映えスポット。,△（混雑）,席取り困難。運よく窓際席が取れれば交差点ビューをゆっくり楽しめる。,,,,,,,,
Shibuya Excel Hotel Tokyu – Lobby,渋谷エクセルホテル東急 ロビー,ホテルロビー（窓展望）,渋谷,公式サイト,Hotel lobby and bar area with window views of the crossing.,ロビーやバーから交差点を見下ろせるホテル。宿泊しなくても利用可能なカフェも。,✅,静かに交差点を眺めたい人におすすめ。宿泊での利用も人気。,,,,,,,,
New York Grill (Park Hyatt),ニューヨークグリル（パークハイアット）,高層ホテル内レストラン,新宿,https://www.hyatt.com/,"High-rise dining with skyline views, featured in ""Lost in Translation"".",映画でも有名な新宿上空の夜景が楽しめるラグジュアリーレストラン。,△（大人向け）,ドレスコードあり。記念日やデート向き。,,,,,,,,
Restaurant Luke with Sky Lounge,レストラン ルーク ウィズ スカイラウンジ,スカイラウンジ,築地,https://restaurant-luke.com/,Modern dining with Tokyo Tower and Skytree views from 47th floor.,東京タワーとスカイツリーを一望できる47階からの絶景レストラン。,△,結婚式やイベント利用も多め。晴れた日のランチも◎。,,,,,,,,
The Sky (Hotel New Otani),ザ・スカイ（ホテルニューオータニ）,回転展望レストラン,赤坂・紀尾井町,https://www.newotani.co.jp/,Rotating buffet with 360° panoramic views of Tokyo.,東京を一望できる回転レストランでのビュッフェ。,✅,子連れにも人気。ビュッフェ形式で好きなものを選べる。,,,,,,,,
Teppanyaki Ten (Shinjuku NS Bldg),鉄板焼 天（新宿NSビル）,鉄板焼,新宿,https://www.tokyuhotels.co.jp/,Teppanyaki dining with city views from the 29th floor.,29階からの夜景と共に鉄板焼が楽しめる。接客の評判も高い。,△（静かめな雰囲気）,お祝い利用にも最適。ドレスコードはないがきれいめが無難。,,,,,,,,
