スポット名（英）,スポット名（日本語）,カテゴリ,エリア,URL,英語説明,日本語説明,tag_family_friendly,コメント・補足,所要時間,予約必要の有無,"英語対応
1（全く対応していない）-3（フル対応）",料金帯
Shibuya Scramble Square,渋谷スクランブルスクエア,百貨店・モール,渋谷,https://www.shibuya-scramble-square.com.e.apy.docomo.ne.jp/,"High-rise shopping complex with fashion, gourmet, and panoramic views.",ファッションやグルメが揃う大型複合施設。展望台「渋谷スカイ」も人気。,✅,展望台目的でも訪問価値あり。,,,,
Don Quijote Shibuya,ドン・キホーテ 渋谷店,ドンキ（バラエティショップ）,渋谷,https://www.donki.com/,Popular discount store chain offering everything from snacks to cosmetics.,雑貨から化粧品まで何でも揃う激安ショップ。観光客にも大人気。,✅,免税対応・24時間営業,,,,
Daiso Harajuku,ダイソー 原宿店,100均・プチプラ雑貨,原宿,https://www.daiso-sangyo.co.jp/,100-yen shop offering a wide range of household goods and cute items.,見た目もかわいいアイテムが揃う100円ショップ。原宿らしい品揃え。,✅,外国人にも人気の日本製小物が多い。,,,,
LOFT Shibuya,ロフト 渋谷店,雑貨・文房具,渋谷,https://www.loft.co.jp/,"Stylish store with stationery, home decor, health and beauty goods.",おしゃれ文具・雑貨・コスメが揃う、流行感度の高いショップ。,✅,季節ごとに特設コーナーあり,,,,
PLAZA Ginza,プラザ 銀座店,コスメ・ファッション雑貨,銀座,https://www.plazastyle.com/,Trendy cosmetics and lifestyle store for young women.,若い女性に人気のトレンド雑貨やコスメが並ぶセレクトショップ。,✅,キャンメイクなど日本ブランドも豊富,,,,
Pokémon Center Mega Tokyo,ポケモンセンターメガトウキョー,キャラクターグッズ,池袋,https://www.pokemon.co.jp/gp/pokecen/megatokyo/,Large Pokémon merchandise store with exclusive items.,ポケモン公式グッズが揃う大型ショップ。ゲーム体験スペースもあり。,✅,カフェや他キャラショップと併設,,,,
Sanrio World Ginza,サンリオワールド銀座,キャラクターグッズ,銀座,https://www.sanrio.co.jp/shop/sh6800100/,Sanrio flagship store featuring Hello Kitty and friends.,ハローキティなどサンリオキャラの総本山的ショップ。,✅,外国人観光客の写真スポットにも,,,,
Matsumoto Kiyoshi Shinjuku,マツモトキヨシ 新宿東口店,ドラッグストア・化粧品,新宿,https://www.matsukiyo.co.jp/,Drugstore known for wide cosmetic and skincare selection.,化粧品・スキンケア品が豊富なドラッグストア。免税も対応。,✅,人気商品に外国語表記あり,,,,
Isetan Shinjuku,伊勢丹 新宿店,百貨店,新宿,https://www.isetan.mistore.jp/shinjuku.html,Premium department store known for fashion and gourmet.,高級ブランドから和菓子まで揃う老舗百貨店。グルメフロアが特に人気。,△（混雑）,地下のデパ地下フードはお土産にも◎,,,,
Tokyu Hands Shibuya,東急ハンズ 渋谷店,雑貨・DIY用品,渋谷,https://hands.net/,Large DIY and lifestyle goods store with unique Japanese items.,手芸・文房具・コスメまで独自の品揃えが魅力。,✅,一部フロアがリニューアル中（時期に注意）,,,,
BEAMS JAPAN Shinjuku,ビームス ジャパン 新宿本店,日本カルチャーセレクトショップ,新宿,https://www.beams.co.jp/shop/j/,"Select shop focused on Japanese craftsmanship, culture, fashion and art.",日本の職人技・デザイン・食・文化を発信するコンセプトストア。,✅,地下から上層階までカテゴリ別に構成。観光にも◎,,,,
"Tokyu Plaza Ginza 6F ""KIRIKO LOUNGE""",東急プラザ銀座「キリコラウンジ」,和モダン雑貨・セレクトショップ複合,銀座,https://ginza.tokyu-plaza.com/,Beautiful rooftop and floor featuring Japanese brands and crafts.,和風で洗練された雑貨・カフェが集結。銀座らしい空間。,✅,ラウンジスペースでのんびりも可,,,,
Japan Traditional Crafts Aoyama,日本の伝統工芸 青山スクエア,伝統工芸セレクトショップ,青山一丁目,https://kougeihin.jp/e/,Official shop featuring traditional crafts from all over Japan.,全国の伝統工芸品を展示・販売する公的ギャラリーショップ。,△,子連れ向きではないが、ギフト探しにおすすめ,,,,
Nakamura Tokichi Ginza Store,中村藤吉本店 銀座店,和スイーツ・茶・雑貨,銀座,https://tokichi.jp/,Famous Uji tea shop with elegant matcha sweets and tea tools.,宇治の老舗茶舗による和モダンカフェと茶道具・菓子販売。,✅,カフェ利用にも◎,,,,
"Matsuya Ginza ""Design Collection""",松屋銀座 デザインコレクション,デザイングッズ・和雑貨,銀座,https://www.matsuya.com/ginza/,Section within Matsuya Ginza showcasing Japanese modern design.,国内外のデザイナーによる日本発プロダクトが充実。,△,大人向け。文房具や食器好きにはたまらない場所,,,,
Aritsugu Tsukiji,築地有次,包丁・料理道具専門店,築地,http://www.aritsugu.jp/,Legendary knife shop with hand-forged Japanese kitchen tools.,職人が打つ日本包丁の老舗。料理好きへのお土産に最適。,△,試し切りや職人との会話が可能（英語OKスタッフもいる場合あり）,,,,
d47 MUSEUM / d47 design travel store,d47 ミュージアム／トラベルストア,都道府県別デザイン＆クラフトミュージアム,渋谷（ヒカリエ8F）,https://www.d-department.com/museum,A museum and store showcasing crafts and culture from all 47 prefectures.,47都道府県の「らしさ」をデザインと共に紹介するミュージアム＆物販。,△（展示静かめ）,同フロアにカフェ・書店併設、雨の日にも◎,,,,
Japan Local Souvenir Museum,日本各地のおみやげミュージアム風ショップ,地方物産セレクトショップ,銀座,各地アンテナショップあり（例：いわて銀河プラザ）,"Discover snacks, crafts, and goods from Japan’s regions in one place.",銀座エリアに全国のアンテナショップが集まっている。,✅,地方別にめぐるだけでも楽しい,,,,
Kakimori,カキモリ,オーダーノート・万年筆,蔵前,https://www.kakimori.com/,"Customizable notebooks and inks in a stylish, handmade-oriented store.",自分だけのノートやインクを作れる文具専門店。,✅,予約制体験あり。英語対応OK,,,,
Itoya Ginza,銀座・伊東屋,高級文具・和文具,銀座,https://www.ito-ya.co.jp/,Flagship stationery store with design-focused Japanese and global items.,デザイン重視の文具セレクト。和紙や手紙用品も豊富。,✅,12階のカフェ、1階のお土産向けも魅力,,,,
