id,title_en,title_ja,description_en,description_ja,location,area,category_id,url,notes_ja,notes_en,duration_hours
00000000-0000-0000-0000-000000000001,ASARA Kimono Rental Asakusa,VASARA 着物レンタル 浅草本店,"Offers a wide range of kimono plans, English-speaking staff, hair styling, and easy access from Sensoji Temple.",浅草寺徒歩すぐ。英語対応・豊富なプラン・ヘアセット付きで人気。観光と組み合わせやすい。,台東区（浅草）,台東区,00000000-0000-0000-0000-000000000001,https://vasara-h.co.jp/en/shop/asakusa/,店舗数が多くアクセス良好。混雑時は事前予約推奨。,Many locations with good access. Advance reservations recommended during busy periods.,3
00000000-0000-0000-0000-000000000002,imono Rental Yumenoya,着物レンタル夢乃屋 浅草店,"Located near Sensoji Temple, offering kimono experiences with English-speaking staff, ninja/samurai cosplay available too.",着物体験のほか忍者や侍コスプレも選べる人気店。英語対応あり、写真プラン充実。,台東区（浅草）,台東区,00000000-0000-0000-0000-000000000001,https://yumenoya.me/en/,忍者体験と併用可能。子ども用サイズ・家族向けプランあり。,Can be combined with ninja experiences. Children's sizes and family plans available.,3
00000000-0000-0000-0000-000000000003,imono Rental Wargo Harajuku,着物レンタル 和楽庵 原宿店,Stylish kimono rental near Takeshita Street. Offers family packages and photo options. English website available.,竹下通り近くで若者・外国人に人気。英語サイトあり。家族写真プランも。,渋谷区（原宿）,渋谷区,00000000-0000-0000-0000-000000000001,https://harajuku-kimonorental.com/en/,トレンド志向の若い層に人気。スタッフの対応も丁寧で評価高い。,Popular with trend-conscious young people. Staff service is polite and highly rated.,3
00000000-0000-0000-0000-000000000004,imply Oishii Wagashi School,シンプリー・オイシイ 和菓子教室,Hands‑on private studio class in Tokyo. Learn mochi and nerikiri from a certified instructor. Reservations only.,プライベートスタジオで、認定講師による餅や練り切りなどの和菓子作り体験。少人数制、予約制クラス。,世田谷区（東京）,世田谷区,00000000-0000-0000-0000-000000000001,https://www.simplyoishii.com/,少人数＋認定講師でしっかり学べる。家族層にも◎。,Small groups with certified instructors for thorough learning. Great for families.,2
00000000-0000-0000-0000-000000000005,agashi Making Class by Kaoru (byFood),菓子工房 Kaoru の和菓子教室 (五反田),"Choose from 5 class types to make daifuku, dango, nerikiri under certified instructor; family-friendly.",果物大福や三色団子、練り切りなど複数メニューから選べる講座。認定講師で家族参加可。,品川区（五反田周辺）,品川区,00000000-0000-0000-0000-000000000001,,"多彩なメニュー、家族向け。価格目安約¥7,000〜。","Variety of menus, family-friendly. Price range approximately ¥7,000~.",2
00000000-0000-0000-0000-000000000006,agashi-making in Kagurazaka by Inoue-san,和菓子工房 梅花亭（Baika-tei）,"Learn from Excellent Wagashi Artisan Takeshi Inoue, craft seasonal sweets, English-friendly, up to ~10 small group.",二瓶亭で「優秀和菓子職人」井上氏から少人数・英語ガイド付きで季節の和菓子を学べる体験。10名程度の少人数制。,新宿区（神楽坂）,新宿区,00000000-0000-0000-0000-000000000001,https://www.baikatei.co.jp,本格志向、神楽坂エリア観光とセットでおすすめ。,"Authentic experience, recommended to combine with Kagurazaka area sightseeing.",2
00000000-0000-0000-0000-000000000007,hinohara Furin Honpo Glass+Painting,篠原風鈴本舗（ガラス吹き＋絵付け）,Glass‑blowing + painting workshop at historic Edo furin studio. English available. Ages 6+. Keepsake original chime.,江戸風鈴の伝統工房で、ガラス吹き＋絵付けができる体験。英語対応、6歳以上参加可。完成品は持ち帰り可能。,台東区（浅草）,台東区,00000000-0000-0000-0000-000000000001,,伝統・体験・持ち帰り3点揃い。予約は電話優先。,"Traditional, hands-on experience, and take-home item all included. Phone reservations preferred.",2
00000000-0000-0000-0000-000000000008,do Furin Painting Workshop (NoHGA Ueno),EDO FURIN 絵付けワークショップ（上野NOHGA）,"Painting your own Shinohara Maruyoshi chime at NOHGA Hotel. 30–60min; ¥1,800/person. Hotel staff guide, small groups (2–6).","NOHGAホテル上野で、30〜60分の風鈴絵付け体験。¥1,800／人。2〜6名の小グループでホテルスタッフ案内付き。",台東区（上野）,台東区,00000000-0000-0000-0000-000000000001,,ホテル滞在者におすすめ。グループ可能だが浅草より簡易。,Recommended for hotel guests. Group bookings possible but simpler than Asakusa experience.,1
00000000-0000-0000-0000-000000000009,eninsula Tokyo Furin Making,ペニンシュラ東京 風鈴制作体験,2‑hour luxury experience: glass‑blowing & painting at Shinohara Furin with hotel car transport and chauffeur guidance. Age 6+. Includes roundtrip.,ペニンシュラ東京が篠原風鈴本舗で手配する2時間体験。ホテル送迎＋ドライバー解説付き。英語対応、6歳以上。高級体験。,千代田区（丸の内／日比谷）,千代田区,00000000-0000-0000-0000-000000000001,,ラグジュアリー志向向け、記念ギフトにも◎。,"Luxury experience, perfect for commemorative gifts.",2
00000000-0000-0000-0000-000000000010,amurai & Ninja Experience Asakusa,浅草侍・忍者体験スタジオ,"Dress up as a samurai or ninja and learn basic weapons, movement and posing in a full costume set.",侍・忍者の衣装を着て、剣術や忍びの動き、記念撮影ができる体験。英語案内付きで初心者◎。,台東区（浅草）,台東区,00000000-0000-0000-0000-000000000001,https://ninjastudio.jp/en/,フォトプラン充実。家族旅行にも◎。,Comprehensive photo plans available. Great for family trips.,2
00000000-0000-0000-0000-000000000011,amurai Kembu Tokyo,サムライ剣舞東京,"Interactive demonstration of samurai sword dance and lessons in posture, breathing, and sake tradition.",剣舞のデモンストレーションと剣術風レッスン（所作・呼吸など）。外国人参加多、英語で指導あり。,渋谷区（千駄ヶ谷）,渋谷区,00000000-0000-0000-0000-000000000001,https://samuailkembu.tokyo/en/classifieds/,格調高い内容。大人向けだが小学生以上可。,Elegant content. Recommended for adults but suitable for elementary school students and above.,2
00000000-0000-0000-0000-000000000012,do Samurai & Ninja Adventure,江戸侍忍者アドベンチャー,City-walking samurai/ninja tour combined with weapon handling demonstration in Edo-style.,江戸時代スタイルで浅草・上野を歩くツアー。武器体験・英語ガイド付き、家族連れにも人気。,台東区（浅草／上野）,台東区,00000000-0000-0000-0000-000000000001,https://edoninjaexperience.jp/en/,動きやすい格好推奨。都市散策も加わり臨場感◎。,Comfortable clothing recommended. Urban exploration adds to the immersive experience.,3
00000000-0000-0000-0000-000000000013,motesenke Chado Culture Class,表千家 茶道文化体験クラス,"Learn etiquette, whisking, and serving matcha in an elegant tea-ceremony format with explanation.",抹茶点てや作法を丁寧に学べる正統派茶道体験。英語指導＆茶菓子付きで初心者・家族向けも。,港区（南青山）,港区,00000000-0000-0000-0000-000000000001,https://www.omotesenke.jp/experience/index.html,静謐な空間。所要約60分、初心者歓迎。,"Serene atmosphere. Takes about 60 minutes, beginners welcome.",1
00000000-0000-0000-0000-000000000014,ea Ceremony Experience Ueno,上野茶道体験,Casual matcha tea ceremony introduction with English explanations in central Ueno.,上野エリアでカジュアルに抹茶体験。外国人観光客に人気、所要45分程度。,台東区（上野）,台東区,00000000-0000-0000-0000-000000000001,https://www.japanesecultureexperience.com/tea-ceremony,入門には最適。立地良く参加しやすい。,Perfect for beginners. Good location and easy to participate.,1
00000000-0000-0000-0000-000000000015,apanese Tea Ceremony Ga-Kyo,茶道体験 茶匡（Ga-Kyo）東京店,"Personalized tea ceremony lessons using premium Uji matcha, small groups, English guidance included.",少人数プレミアム体験。宇治抹茶使用、英語ガイドあり。本格的作法を丁寧に。,渋谷区（代々木上原）,渋谷区,00000000-0000-0000-0000-000000000001,https://ga-kyo.com/en/,落ち着いた大人向け。予約必須。,Relaxed atmosphere for adults. Reservations required.,1
00000000-0000-0000-0000-000000000016,hodo Workshop Tokyo,書道ワークショップ東京,"Write your name in kanji, learn brush techniques, and keep calligraphy as art. Beginner-level with English instructions.",漢字や名前を筆で書く体験。筆遣いを学び、作品を持ち帰り。英語での指導あり・初心者OK。,渋谷区（原宿・表参道）,渋谷区,00000000-0000-0000-0000-000000000001,https://www.shodoworkshoptokyo.com/,短時間で完成。土産にも◎。,Quick completion. Great as a souvenir.,1
00000000-0000-0000-0000-000000000017,alligraphy Lesson by Kyoto Sensei,京都流書道レッスン（外国人向け）,"Traditional Japanese calligraphy class led by Kyoto-style sensei, English explained.",京都流の先生による本格書道レッスン。英語で説明あり、文字の意味も教える体験。,港区（六本木）,港区,00000000-0000-0000-0000-000000000001,,しっかり学びたい人向け。,For those who want to learn thoroughly.,2
00000000-0000-0000-0000-000000000018,hodo Experience Asakusa,浅草書道体験,"Short session for tourists: brush, ink, and learn stroke order basics. Affairs friendly.",観光客向けの短時間体験。筆・墨でストロークを学び、作品を持ち帰り可。英語説明あり。,台東区（浅草）,台東区,00000000-0000-0000-0000-000000000001,https://www.asakushodoclub.com/en/,旅程に組み込みやすい。,Easy to fit into your itinerary.,1
00000000-0000-0000-0000-000000000019,okyo Yakatabune Dinner Cruise,東京屋形船ディナークルーズ,"Enjoy sukiyaki and soft drinks, shamisen performance, and night views of Rainbow Bridge & Tokyo Tower.",すき焼き・ソフトドリンク・三味線演奏・屋形船クルーズの夜景体験。英語ガイド・案内あり。,江東区／港区湾岸,江東区,00000000-0000-0000-0000-000000000001,https://www.getyourguide.com/tokyo-l193/tokyo-yakatabune-dinner-cruise-with-japanese-show-drinks-t488035/,幅広い支持、30名程度の小グループで◎。予約は早めに。,"Wide appeal, great for groups of around 30 people. Book early.",3
00000000-0000-0000-0000-000000000020,akatabune AMITATSU,風雅屋形船 文芸あみたつ,"Historic houseboat cruise around Sky Tree and Rainbow Bridge with dinner, open to small groups.",浅草・スカイツリー・お台場を巡る老舗船。伝統和食と夜景、2名から予約可。,江東区（浅草～お台場）,江東区,00000000-0000-0000-0000-000000000001,https://www.amitatsu.jp/english/,創業100年、送迎不要・2名〜利用可,"100-year history, no transportation needed, available for 2+ people",3
00000000-0000-0000-0000-000000000021,akatabune Funayado-Tsurishin,船宿釣新（つりしん）,Traditional houseboat with seasonal Japanese cuisine and scenic river views across seasons.,季節料理を楽しむ屋形船。桜や花火など四季感が豊かな水上体験。,台東区（蔵前）,台東区,00000000-0000-0000-0000-000000000001,https://www.yakatabune-tsurishin.com/en/index.html,ランチプラン含む。家族のんびり参加に◎。,Includes lunch plans. Great for relaxed family participation.,3
00000000-0000-0000-0000-000000000022,okyo Taiko Drum Experience (Klook),東京太鼓体験（Klook）,50‑minute Taiko class under pro teacher—learn rhythms in intimate group setting. 身体も動かす参加型体験。,プロ講師と50分クラスで太鼓叩き体験。音が心地よく汗をかくようなエクササイズ要素も。,新宿区,新宿区,00000000-0000-0000-0000-000000000001,https://www.klook.com/en-US/activity/8758-taiko-japanese-drum-experience-tokyo/,エネルギッシュ、手軽に体験可。,"Energetic, easy to experience.",1
00000000-0000-0000-0000-000000000023,aiko Drum Experience in Kabukicho,歌舞伎町太鼓体験（夕食つき）,"Professional drum artists teach rhythms, followed by Wagyu dinner—multilingual guide included.",プロ講師によるレッスン＋和牛焼肉ディナー、英中対応ガイド付き。旅行者に人気。,新宿区,新宿区,00000000-0000-0000-0000-000000000001,https://www.getyourguide.com/tokyo-l193/tokyo-taiko-drum-experience-in-kabukicho-with-dinner-t774658/,食事も楽しめるパッケージ。大人向け。,Package includes dining. Recommended for adults.,3
00000000-0000-0000-0000-000000000024,aiko Center Workshop (Asakusa/Aoyama),太鼓センター ワークショップ,Hands‑on drums in Asakusa/Aoyama studio—refreshing cultural break from sightseeing.,浅草・青山で太鼓体験。観光の合間にリフレッシュ、英語案内あり。,台東区／渋谷区,台東区,00000000-0000-0000-0000-000000000001,https://www.taiko-center.co.jp/english/class/tokyo-class.html,エネルギー重視、子どもから大人まで楽しめる。,"Energy-focused, enjoyable for children to adults.",1
00000000-0000-0000-0000-000000000025,aro's Origami Studio Asakusa,太郎の折り紙スタジオ 浅草,"Tablet‑guided family & beginner friendly origami experience near Sensoji, with studio view of Skytree.",タブレット付き折り紙体験。浅草・隅田川沿い、スカイツリー展望。家族や初心者向けに優しいガイド。,台東区,台東区,00000000-0000-0000-0000-000000000001,https://www.tarosorigami.com/asakusa-tokyo/,事前予約推奨、子供にも丁寧。,"Advance reservations recommended, gentle with children.",1
00000000-0000-0000-0000-000000000026,rigami Class by Tokyo Origami Museum,東京折り紙博物館の折り紙クラス,"Hosted at Origami Museum by certified instructor Teru; 1‑hour class, take home models.",折り紙会館／博物館主催、認定講師による1時間クラス。作品と教本のお土産付き。,墨田区,墨田区,00000000-0000-0000-0000-000000000001,,高品質＆安心感。博物館併設で文化理解も深まる。,High quality and reliable. Museum location deepens cultural understanding.,1
